Seed,Theta,Inf,Alpha
2041,0.5,1.04770e+01,9.95016e+01
2041,1.0,1.04771e+01,9.90059e+01
2042,0.0,1.04198e+01,1.00687e+02
2042,0.5,1.04194e+01,1.00190e+02
2042,1.0,1.04189e+01,9.96989e+01
2043,0.0,1.06013e+01,9.98086e+01
2043,0.5,1.06013e+01,9.93114e+01
2043,1.0,1.06012e+01,9.88192e+01
2044,0.0,1.05112e+01,1.00865e+02
2044,0.5,1.05110e+01,1.00365e+02
2044,1.0,1.05107e+01,9.98695e+01
2045,0.0,1.05932e+01,9.89585e+01
2045,0.5,1.05937e+01,9.84587e+01
2045,1.0,1.05943e+01,9.79638e+01
2046,0.0,1.03510e+01,1.01437e+02
2046,0.5,1.03508e+01,1.00931e+02
2046,1.0,1.03506e+01,1.00430e+02
2047,0.0,1.06164e+01,9.95802e+01
2047,0.5,1.06166e+01,9.90797e+01
2047,1.0,1.06168e+01,9.85842e+01
2048,0.0,1.02470e+01,1.01159e+02
2048,0.5,1.02469e+01,1.00648e+02
2048,1.0,1.02468e+01,1.00142e+02
2049,0.0,1.03634e+01,1.01414e+02
2049,0.5,1.03629e+01,1.00910e+02
2049,1.0,1.03623e+01,1.00410e+02
2050,0.0,1.05912e+01,9.98980e+01
2050,0.5,1.05912e+01,9.94005e+01
2050,1.0,1.05912e+01,9.89078e+01
2051,0.0,1.06084e+01,1.00771e+02
2051,0.5,1.06077e+01,1.00279e+02
2051,1.0,1.06070e+01,9.97923e+01
2052,0.0,1.04905e+01,1.00208e+02
2052,0.5,1.04900e+01,9.97116e+01
2052,1.0,1.04895e+01,9.92196e+01
2053,0.0,1.04875e+01,1.00106e+02
2053,0.5,1.04873e+01,9.96074e+01
2053,1.0,1.04872e+01,9.91136e+01
2054,0.0,1.08387e+01,9.71092e+01
2054,0.5,1.08398e+01,9.66149e+01
2054,1.0,1.08409e+01,9.61257e+01
2055,0.0,1.03186e+01,1.01738e+02
2055,0.5,1.03185e+01,1.01227e+02
2055,1.0,1.03184e+01,1.00720e+02
2056,0.0,1.07861e+01,9.87850e+01
2056,0.5,1.07865e+01,9.82896e+01
2056,1.0,1.07869e+01,9.77990e+01
2057,0.0,1.04234e+01,1.00953e+02
2057,0.5,1.04236e+01,1.00445e+02
2057,1.0,1.04238e+01,9.99420e+01
2058,0.0,1.05260e+01,1.00507e+02
2058,0.5,1.05257e+01,1.00006e+02
2058,1.0,1.05254e+01,9.95094e+01
2059,0.0,1.03239e+01,1.01471e+02
2059,0.5,1.03236e+01,1.00962e+02
2059,1.0,1.03234e+01,1.00458e+02
2060,0.0,1.03468e+01,1.00501e+02
2060,0.5,1.03469e+01,9.99929e+01
2060,1.0,1.03471e+01,9.94902e+01
2061,0.0,1.08258e+01,9.74507e+01
2061,0.5,1.08264e+01,9.69628e+01
2061,1.0,1.08269e+01,9.64797e+01
2062,0.0,1.03230e+01,1.01824e+02
2062,0.5,1.03224e+01,1.01317e+02
2062,1.0,1.03219e+01,1.00814e+02
2063,0.0,1.05589e+01,9.92969e+01
2063,0.5,1.05596e+01,9.87884e+01
2063,1.0,1.05603e+01,9.82850e+01
2064,0.0,1.06663e+01,9.95286e+01
2064,0.5,1.06668e+01,9.90310e+01
2064,1.0,1.06672e+01,9.85384e+01
2065,0.0,1.03672e+01,1.00741e+02
2065,0.5,1.03670e+01,1.00239e+02
2065,1.0,1.03669e+01,9.97429e+01
2066,0.0,1.06904e+01,9.86138e+01
2066,0.5,1.06914e+01,9.81128e+01
2066,1.0,1.06925e+01,9.76168e+01
2067,0.0,1.04507e+01,1.00136e+02
2067,0.5,1.04510e+01,9.96307e+01
2067,1.0,1.04514e+01,9.91302e+01
2068,0.0,1.04232e+01,1.01002e+02
2068,0.5,1.04235e+01,1.00494e+02
2068,1.0,1.04237e+01,9.99906e+01
2069,0.0,1.04618e+01,9.90189e+01
2069,0.5,1.04629e+01,9.85094e+01
2069,1.0,1.04640e+01,9.80049e+01
2070,0.0,1.05767e+01,9.86542e+01
2070,0.5,1.05768e+01,9.81609e+01
2070,1.0,1.05770e+01,9.76725e+01
2071,0.0,1.04950e+01,9.95709e+01
2071,0.5,1.04958e+01,9.90652e+01
2071,1.0,1.04966e+01,9.85646e+01
2072,0.0,1.04181e+01,1.01102e+02
2072,0.5,1.04175e+01,1.00601e+02
2072,1.0,1.04170e+01,1.00105e+02
2073,0.0,1.05149e+01,9.97264e+01
2073,0.5,1.05153e+01,9.92238e+01
2073,1.0,1.05157e+01,9.87263e+01
2074,0.0,1.02562e+01,1.01360e+02
2074,0.5,1.02553e+01,1.00859e+02
2074,1.0,1.02544e+01,1.00363e+02
2075,0.0,1.05070e+01,1.00746e+02
2075,0.5,1.05070e+01,1.00243e+02
2075,1.0,1.05070e+01,9.97448e+01
